id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335995,DPMD Jayawardene,15,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",13,0,2,Shoaib Malik,Right arm off spin
335995,Yuvraj Singh,40,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0,21,2,not out,Not Out
335995,TM Srivastava,7,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0,5,2,VY Mahesh,Right arm medium pace
335995,IK Pathan,10,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0,10,2,Mohammad Asif,Right arm medium pace
335995,B Lee,1,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",0,1,2,not out,Not Out
335996,PA Patel,21,Royal Challengers Bangalore,M Chinnaswamy Stadium,15,0,1,P Kumar,Right arm medium pace
335996,ML Hayden,13,Royal Challengers Bangalore,M Chinnaswamy Stadium,13,0,1,Z Khan,Left arm medium pace
335996,MEK Hussey,47,Royal Challengers Bangalore,M Chinnaswamy Stadium,5,24,1,Z Khan,Left arm medium pace
335996,SK Raina,28,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,1,not out,Not Out
335996,MS Dhoni,65,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,51,1,Z Khan,Left arm medium pace
335996,B Chipli,8,Chennai Super Kings,M Chinnaswamy Stadium,8,0,2,MS Gony,Right arm medium pace
335996,W Jaffer,50,Chennai Super Kings,M Chinnaswamy Stadium,15,0,2,P Amarnath,Right arm medium pace
335996,LRPL Taylor,53,Chennai Super Kings,M Chinnaswamy Stadium,20,0,2,P Amarnath,Right arm medium pace
335996,JH Kallis,14,Chennai Super Kings,M Chinnaswamy Stadium,0,0,2,Joginder Sharma,Right arm medium pace
335996,MV Boucher,4,Chennai Super Kings,M Chinnaswamy Stadium,0,3,2,MS Gony,Right arm medium pace
335996,V Kohli,12,Chennai Super Kings,M Chinnaswamy Stadium,0,12,2,JA Morkel,Right arm medium pace
335996,R Dravid,0,Chennai Super Kings,M Chinnaswamy Stadium,0,0,2,MS Gony,Right arm medium pace
335996,P Kumar,6,Chennai Super Kings,M Chinnaswamy Stadium,0,6,2,not out,Not Out
335996,Z Khan,8,Chennai Super Kings,M Chinnaswamy Stadium,0,8,2,JDP Oram,Right arm medium pace
335996,B Akhil,2,Chennai Super Kings,M Chinnaswamy Stadium,0,2,2,not out,Not Out
335996,DW Steyn,1,Chennai Super Kings,M Chinnaswamy Stadium,0,1,2,Joginder Sharma,Right arm medium pace
335997,BB McCullum,1,Mumbai Indians,Eden Gardens,1,0,1,SM Pollock,Right arm medium pace
335997,SC Ganguly,4,Mumbai Indians,Eden Gardens,4,0,1,SM Pollock,Right arm medium pace
335997,RT Ponting,19,Mumbai Indians,Eden Gardens,5,0,1,not out,Not Out
335997,DB Das,29,Mumbai Indians,Eden Gardens,29,0,1,DJ Bravo,Right arm medium pace
